"archivo","linea","nivel","titulo","id"
"01-intro.Rmd",5,2,"![](figuras/book.svg){.hicon} De los datos a la información: la analítica de datos.","c01-de-los-datos-a-la-informacion-la-analitica"
"01-intro.Rmd",11,3,"![](figuras/key.svg){.hicon} La Estadística como ciencia instrumental.","c01-la-estadistica-como-ciencia-instrumental"
"01-intro.Rmd",23,3,"![](figuras/key.svg){.hicon} Analítica de datos económicos.","c01-analitica-de-datos-economicos"
"01-intro.Rmd",29,3,"![](figuras/key.svg){.hicon} La infraestructura: el software de análisis.","c01-la-infraestructura-el-software-de-analisis"
"01-intro.Rmd",37,2,"![](figuras/key.svg){.hicon}![](images/clipboard-2401404524.png) ¿Qué es R y cómo nos ayuda a analizar datos?","c01-que-es-r-y-como-nos-ayuda-a-analizar-datos"
"01-intro.Rmd",43,2,"![](images/clipboard-1383707725.png)![](figuras/pie-chart.svg){.hicon} Instalación de R y RStudio.","c01-instalacion-de-r-y-rstudio"
"01-intro.Rmd",49,2,"![](images/clipboard-1383707725.png)![](figuras/pie-chart.svg){.hicon} R y RStudio. Comienzo: Proyectos.","c01-r-y-rstudio-comienzo-proyectos"
"01-intro.Rmd",71,2,"![](images/clipboard-1383707725.png)![](figuras/pie-chart.svg){.hicon} Scripts.","c01-scripts"
"01-intro.Rmd",101,2,"![](images/clipboard-1383707725.png)![](figuras/pie-chart.svg){.hicon} Funciones.","c01-funciones"
"01-intro.Rmd",130,2,"![](images/clipboard-1383707725.png)![](figuras/pie-chart.svg){.hicon} Paquetes (*packages*).","c01-paquetes-packages"
"01-intro.Rmd",146,2,"![](images/clipboard-1383707725.png)![](figuras/pie-chart.svg){.hicon} Help! (sistema de ayuda).","c01-help-sistema-de-ayuda"
"01-intro.Rmd",170,2,"![](figuras/book.svg){.hicon} ¿Y ahora?","c01-y-ahora"
"01-intro.Rmd",174,2,"![](figuras/star.svg){.hicon} El universo R-Stars.","c01-el-universo-r-stars"
"02-datos.Rmd",5,2,"![](figuras/book.svg){.hicon} Objetos. Datos.","c02-objetos-datos"
"02-datos.Rmd",35,3,"![](figuras/key.svg){.hicon} Vectores.","c02-vectores"
"02-datos.Rmd",117,3,"![](figuras/key.svg){.hicon} Matrices.","c02-matrices"
"02-datos.Rmd",175,3,"![](figuras/key.svg){.hicon} *Data frames*.","c02-data-frames"
"02-datos.Rmd",240,3,"![](figuras/key.svg){.hicon} Factores.","c02-factores"
"02-datos.Rmd",278,3,"![](figuras/key.svg){.hicon} Listas.","c02-listas"
"02-datos.Rmd",319,2,"![](figuras/pie-chart.svg){.hicon} Importando datos.","c02-importando-datos"
"02-datos.Rmd",446,2,"![](figuras/pie-chart.svg){.hicon} El paquete `{dplyr}`.","c02-el-paquete-dplyr"
"02-datos.Rmd",448,3,"![](figuras/key.svg){.hicon} El *Tidyverse*. Cargando `{dplyr}`.","c02-el-tidyverse-cargando-dplyr"
"02-datos.Rmd",479,3,"![](figuras/key.svg){.hicon} Seleccionando columnas de un *data frame*.","c02-seleccionando-columnas-de-un-data-frame"
"02-datos.Rmd",570,3,"![](figuras/key.svg){.hicon} Ordenando casos de un *data frame*.","c02-ordenando-casos-de-un-data-frame"
"02-datos.Rmd",651,3,"![](figuras/key.svg){.hicon} El operador *pipe*.","c02-el-operador-pipe"
"02-datos.Rmd",675,3,"![](figuras/key.svg){.hicon} Seleccionando casos de un *data frame*.","c02-seleccionando-casos-de-un-data-frame"
"02-datos.Rmd",732,3,"![](figuras/key.svg){.hicon} Seleccionando casos por posición: `slice()`.","c02-seleccionando-casos-por-posicion-slice"
"02-datos.Rmd",759,3,"![](figuras/key.svg){.hicon} Cambiando el nombre de las variables de un *data frame*.","c02-cambiando-el-nombre-de-las-variables-de-un"
"02-datos.Rmd",770,3,"![](figuras/key.svg){.hicon} Añadiendo variables como transformación de otras variables en un *data frame*.","c02-anadiendo-variables-como-transformacion-de"
"02-datos.Rmd",880,3,"![](figuras/key.svg){.hicon} Extrayendo y sintetizando información de las variables de un *data frame*.","c02-extrayendo-y-sintetizando-informacion-de-las"
"02-datos.Rmd",899,2,"![](figuras/pie-chart.svg){.hicon}![](figuras/key.svg){.hicon} Exportando datos.","c02-exportando-datos"
"02-datos.Rmd",962,2,"![](figuras/star.svg){.hicon} Las variables de la base de datos del proyecto R-Stars.","c02-las-variables-de-la-base-de-datos-del"
"02-datos.Rmd",966,2,"![](figuras/arrow-down-circle.svg){.hicon} Materiales para realizar las prácticas del capítulo.","c02-materiales-para-realizar-las-practicas-del"
"03-graficos.Rmd",5,2,"![](figuras/book.svg){.hicon} El valor de las imágenes.","c03-el-valor-de-las-imagenes"
"03-graficos.Rmd",19,2,"![](figuras/pie-chart.svg){.hicon} El *Tidyverse* para gráficos: `{ggplot2}`.","c03-el-tidyverse-para-graficos-ggplot2"
"03-graficos.Rmd",76,2,"![](figuras/pie-chart.svg){.hicon} La estructura de un gráfico con `{ggplot2}`.","c03-la-estructura-de-un-grafico-con-ggplot2"
"03-graficos.Rmd",96,2,"![](figuras/pie-chart.svg){.hicon} Gráficos de una variable.","c03-graficos-de-una-variable"
"03-graficos.Rmd",98,3,"![](figuras/key.svg){.hicon} Histograma.","c03-histograma"
"03-graficos.Rmd",167,3,"![](figuras/key.svg){.hicon} Gráfico de densidad.","c03-grafico-de-densidad"
"03-graficos.Rmd",194,3,"![](figuras/key.svg){.hicon} Gráfico de caja o *Box-Plot*.","c03-grafico-de-caja-o-box-plot"
"03-graficos.Rmd",301,3,"![](figuras/key.svg){.hicon} Gráfico de violín.","c03-grafico-de-violin"
"03-graficos.Rmd",322,3,"![](figuras/key.svg){.hicon} Gráfico de barras.","c03-grafico-de-barras"
"03-graficos.Rmd",357,2,"![](figuras/pie-chart.svg){.hicon} Gráficos de dos variables.","c03-graficos-de-dos-variables"
"03-graficos.Rmd",359,3,"![](figuras/key.svg){.hicon} Gráfico de dispersión o *scatterplot*.","c03-grafico-de-dispersion-o-scatterplot"
"03-graficos.Rmd",472,2,"![](figuras/pie-chart.svg){.hicon} Paneles múltiples: *faceting*.","c03-paneles-multiples-faceting"
"03-graficos.Rmd",504,2,"![](figuras/arrow-down-circle.svg){.hicon} Materiales para realizar las prácticas del capítulo.","c03-materiales-para-realizar-las-practicas-del"
"04-descriptiva.Rmd",13,2,"![](figuras/book.svg){.hicon} Análisis univariante.","c04-analisis-univariante"
"04-descriptiva.Rmd",27,2,"![](figuras/star.svg){.hicon} *Shuttlepod Movers*: ¿una estructura salarial demasiado plana?","c04-shuttlepod-movers-una-estructura-salarial"
"04-descriptiva.Rmd",65,2,"![](figuras/pie-chart.svg){.hicon} Representando datos y distribuciones de frecuencias en tablas con R.","c04-representando-datos-y-distribuciones-de"
"04-descriptiva.Rmd",391,2,"![](figuras/book.svg){.hicon}![](figuras/pie-chart.svg){.hicon} Medidas de posición.","c04-medidas-de-posicion"
"04-descriptiva.Rmd",471,2,"![](figuras/book.svg){.hicon}![](figuras/pie-chart.svg){.hicon} Medidas de dispersión o variabilidad.","c04-medidas-de-dispersion-o-variabilidad"
"04-descriptiva.Rmd",543,2,"![](figuras/book.svg){.hicon}![](figuras/pie-chart.svg){.hicon} Medidas de forma.","c04-medidas-de-forma"
"04-descriptiva.Rmd",610,2,"![](figuras/book.svg){.hicon}![](figuras/pie-chart.svg){.hicon} Medidas de concentración.","c04-medidas-de-concentracion"
"04-descriptiva.Rmd",622,3,"![](figuras/key.svg){.hicon} La curva de Lorenz.","c04-la-curva-de-lorenz"
"04-descriptiva.Rmd",691,3,"![](figuras/key.svg){.hicon} El índice de Gini.","c04-el-indice-de-gini"
"04-descriptiva.Rmd",717,2,"![](figuras/book.svg){.hicon}![](figuras/pie-chart.svg){.hicon} Resumen del análisis descriptivo.","c04-resumen-del-analisis-descriptivo"
"04-descriptiva.Rmd",748,2,"![](figuras/arrow-down-circle.svg){.hicon} Materiales para realizar las prácticas del capítulo.","c04-materiales-para-realizar-las-practicas-del"
"05-analisis_previo_de_datos.Rmd",5,2,"![](figuras/book.svg){.hicon}![](figuras/pie-chart.svg){.hicon} Introducción.","c05-introduccion"
"05-analisis_previo_de_datos.Rmd",17,2,"![](figuras/star.svg){.hicon} Encargo de la ARTI: auditoría sectorial.","c05-encargo-de-la-arti-auditoria-sectorial"
"05-analisis_previo_de_datos.Rmd",115,2,"![](figuras/book.svg){.hicon}![](figuras/pie-chart.svg){.hicon} Análisis de una variable.","c05-analisis-de-una-variable"
"05-analisis_previo_de_datos.Rmd",117,3,"![](figuras/key.svg){.hicon} Buscando *missing values* y *outliers*.","c05-buscando-missing-values-y-outliers"
"05-analisis_previo_de_datos.Rmd",392,3,"![](figuras/key.svg){.hicon} Descripción de una variable.","c05-descripcion-de-una-variable"
"05-analisis_previo_de_datos.Rmd",564,3,"![](figuras/key.svg){.hicon} Normalidad.","c05-normalidad"
"05-analisis_previo_de_datos.Rmd",618,3,"![](figuras/paperclip.svg){.hicon} Resumen: 4 gráficos básicos en la descripción de una variable.","c05-resumen-4-graficos-basicos-en-la-descripcion"
"05-analisis_previo_de_datos.Rmd",645,2,"![](figuras/book.svg){.hicon}![](figuras/pie-chart.svg){.hicon} Análisis de múltiples variables.","c05-analisis-de-multiples-variables"
"05-analisis_previo_de_datos.Rmd",655,3,"![](figuras/key.svg){.hicon} Localización de *missing values* y *outliers*.","c05-localizacion-de-missing-values-y-outliers"
"05-analisis_previo_de_datos.Rmd",835,3,"![](figuras/key.svg){.hicon} Correlación entre variables.","c05-correlacion-entre-variables"
"05-analisis_previo_de_datos.Rmd",898,2,"![](figuras/arrow-down-circle.svg){.hicon} Materiales para realizar las prácticas del capítulo.","c05-materiales-para-realizar-las-practicas-del"
"06-componentes_principales.Rmd",5,2,"![](figuras/book.svg){.hicon} Introducción.","c06-introduccion"
"06-componentes_principales.Rmd",15,2,"![](figuras/book.svg){.hicon} Información y varianza.","c06-informacion-y-varianza"
"06-componentes_principales.Rmd",37,2,"![](figuras/star.svg){.hicon} La elección de *Arg-Us Korp*.","c06-la-eleccion-de-arg-us-korp"
"06-componentes_principales.Rmd",61,2,"![](figuras/pie-chart.svg){.hicon} Preparación previa de datos.","c06-preparacion-previa-de-datos"
"06-componentes_principales.Rmd",158,2,"![](figuras/pie-chart.svg){.hicon} Cálculo de componentes.","c06-calculo-de-componentes"
"06-componentes_principales.Rmd",262,2,"![](figuras/pie-chart.svg){.hicon} Retención de componentes.","c06-retencion-de-componentes"
"06-componentes_principales.Rmd",358,2,"![](figuras/pie-chart.svg){.hicon} Puntuaciones de los casos (scores).","c06-puntuaciones-de-los-casos-scores"
"06-componentes_principales.Rmd",452,2,"![](figuras/paperclip.svg){.hicon} Efecto de los *outliers* en las puntuaciones.","c06-efecto-de-los-outliers-en-las-puntuaciones"
"06-componentes_principales.Rmd",489,2,"![](figuras/paperclip.svg){.hicon} Utilización de técnicas robustas: método de Hubert.","c06-utilizacion-de-tecnicas-robustas-metodo-de"
"06-componentes_principales.Rmd",583,3,"![](figuras/star.svg){.hicon} La decisión de *Arg-Us Korp*.","c06-la-decision-de-arg-us-korp"
"06-componentes_principales.Rmd",591,2,"![](figuras/arrow-down-circle.svg){.hicon} Materiales para realizar las prácticas del capítulo.","c06-materiales-para-realizar-las-practicas-del"
"07-analisis_cluster.Rmd",5,2,"![](figuras/book.svg){.hicon} Introducción.","c07-introduccion"
"07-analisis_cluster.Rmd",27,3,"![](figuras/key.svg){.hicon} Clasificación de los métodos de análisis clúster.","c07-clasificacion-de-los-metodos-de-analisis"
"07-analisis_cluster.Rmd",82,2,"![](figuras/star.svg){.hicon} El Informe *Bluebird*.","c07-el-informe-bluebird"
"07-analisis_cluster.Rmd",98,2,"![](figuras/book.svg){.hicon} ![](figuras/pie-chart.svg){.hicon} Encargo 1: análisis jerárquico (método de Ward).","c07-encargo-1-analisis-jerarquico-metodo-de-ward"
"07-analisis_cluster.Rmd",110,3,"![](figuras/pie-chart.svg) Preparación de los datos.","c07-preparacion-de-los-datos"
"07-analisis_cluster.Rmd",214,3,"![](figuras/pie-chart.svg) Aplicación del método de *Ward*.","c07-aplicacion-del-metodo-de-ward"
"07-analisis_cluster.Rmd",359,3,"![](figuras/pie-chart.svg) Caracterización de los grupos o conglomerados.","c07-caracterizacion-de-los-grupos-o-conglomerados"
